jobid,submit,start,end,nnodes,duration,max_memory,randomness
0,170562253,170562253,170562426,1,172,35,0.14
1,170562256,170562295,170567901,4,5606,117,0.53
2,170562288,170562288,170563012,1,723,24,0.51
3,170562288,170562288,170563012,1,723,86,1.0
4,170562290,170562291,170562336,1,45,133,0.04
5,170562300,170562300,170562482,1,182,42,0.44
6,170562340,170562340,170562422,1,82,35,0.34
7,170562342,170562342,170562409,1,66,56,0.45
8,170562354,170562355,170568199,1,5843,130,0.52
9,170562364,170562365,170562427,1,61,121,0.73
10,170562423,170562423,170562449,1,26,59,0.01
11,170562433,170562433,170568199,1,5766,131,0.42
12,170562434,170562435,170562445,1,10,16,0.99
13,170562452,170562452,170562504,1,51,58,0.76
14,170562457,170562457,170562505,1,47,133,0.52
15,170562458,170562458,170563503,1,1045,31,0.23
16,170562494,170562499,170562673,1,173,78,0.33
17,170562508,170562511,170568199,1,5687,54,0.97
18,170562528,170562530,170562569,6,38,44,0.32
19,170562568,170562576,170563076,1,499,20,0.69
20,170562591,170562592,170563091,1,499,28,0.02
21,170562610,170562610,170562627,1,17,18,0.53
22,170562620,170562621,170563124,1,502,56,0.53
23,170562624,170562624,170563348,1,723,25,0.05
24,170562631,170562633,170563133,1,500,20,0.14
25,170562631,170562633,170563133,1,500,21,0.52
26,170562634,170562635,170570822,1,8187,39,0.27
27,170562651,170562651,170562674,1,22,19,0.61
28,170562669,170562669,170562693,1,24,23,0.58
29,170562689,170562689,170567829,16,5140,39,0.16
30,170562770,170562770,170562796,1,26,23,0.83
31,170562827,170562827,170562957,4,129,24,0.38
32,170562827,170562827,170562938,4,110,27,0.87
33,170562827,170562827,170562934,4,106,23,0.55
34,170562827,170562827,170562942,4,114,25,0.55
35,170562827,170562827,170562970,4,142,25,0.53
36,170562955,170562955,170563377,1,422,57,0.32
37,170562976,170562984,170563977,4,993,25,0.87
38,170562976,170562977,170563988,4,1011,26,0.61
39,170562976,170562977,170563954,4,977,25,0.64
40,170562976,170562977,170567148,4,4171,27,0.13
41,170562976,170562981,170564037,4,1055,25,0.01
42,170563012,170563012,170563735,1,723,25,0.01
43,170563012,170563012,170563735,1,723,25,0.53
44,170563076,170563077,170563578,1,500,21,0.1
45,170563091,170563093,170563592,1,499,20,0.26
46,170563097,170563097,170563281,1,183,16,0.07
47,170563124,170563124,170563626,1,501,58,0.25
48,170563133,170563135,170563636,1,500,20,0.01
49,170563133,170563135,170563636,1,500,57,0.01
50,170563348,170563348,170564071,1,723,30,0.06
