jobid,submit,start,end,nnodes,duration,max_memory,randomness
0,168576504,168576504,168580806,2,4302,100,0.9
1,168580999,168580999,168585302,2,4303,100,0.91
2,168585304,168585304,168589611,2,4307,96,0.88
3,168589904,168589904,168594215,2,4311,97,0.94
4,168594394,168594394,168598695,2,4301,115,0.86
5,168576558,168576558,168580860,2,4302,98,0.58
6,168581051,168581051,168585352,2,4301,104,0.56
7,168585353,168585353,168589655,2,4301,103,0.51
8,168590077,168590077,168594379,2,4301,98,0.46
9,168594576,168594576,168598877,2,4301,100,0.63
10,168577241,168577241,168581542,2,4301,100,0.85
11,168581687,168581687,168585988,2,4301,100,0.7
12,168586658,168586658,168590960,2,4301,97,0.65
13,168591193,168591193,168595495,2,4301,103,0.22
14,168595573,168595573,168599874,2,4301,105,0.12
15,168576140,168576140,168580455,1,4315,115,0.81
16,168577224,168577224,168581547,4,4323,70,0.63
17,168581740,168581740,168586056,4,4316,73,0.68
18,168586970,168586970,168591295,4,4325,75,0.93
19,168591960,168591960,168596283,4,4322,73,0.79
20,168577318,168577318,168579461,2,2143,90,0.66
21,168583381,168583381,168583448,8,66,141,0.21
22,168577629,168577629,168579788,2,2158,108,0.32
23,168579788,168579788,168581951,2,2163,91,0.65
24,168582252,168582252,168584412,2,2160,96,0.41
25,168584455,168584455,168586615,2,2159,91,0.17
26,168586619,168586619,168588780,2,2161,93,0.3
27,168589257,168589257,168591416,2,2158,93,0.65
28,168591422,168591422,168593581,2,2159,92,0.49
29,168593737,168593737,168595896,2,2159,96,0.87
30,168577630,168577630,168579789,2,2159,96,0.24
31,168579790,168579790,168581949,2,2159,94,0.59
32,168582251,168582251,168584415,2,2163,92,0.16
33,168584530,168584530,168586685,2,2154,91,0.21
34,168586689,168586689,168588848,2,2159,94,0.55
35,168589358,168589358,168591517,2,2159,95,0.31
36,168591793,168591793,168593953,2,2159,91,0.05
37,168594163,168594163,168596323,2,2159,94,0.51
38,168596363,168596363,168598523,2,2159,94,0.36
39,168577781,168577781,168582092,2,4311,92,0.88
40,168582255,168582255,168586567,2,4311,93,0.74
41,168586822,168586822,168591133,2,4311,94,0.55
42,168591222,168591222,168595534,2,4311,100,0.75
43,168595574,168595574,168599886,2,4312,102,0.28
44,168577781,168577781,168582092,2,4311,92,0.95
45,168582256,168582256,168586571,2,4315,93,0.93
46,168586892,168586892,168591204,2,4311,94,0.69
47,168591356,168591356,168595667,2,4311,97,0.52
48,168595707,168595707,168600020,2,4312,100,0.06
49,168578055,168578055,168582372,2,4317,94,0.35
50,168582397,168582397,168586708,2,4311,100,0.19
51,168587069,168587069,168591380,2,4311,97,0.48
52,168591541,168591541,168595852,2,4311,94,0.21
53,168595853,168595853,168600165,2,4311,94,0.02
54,168578261,168578261,168582588,2,4326,91,0.35
55,168582599,168582599,168586911,2,4311,94,0.68
56,168587265,168587265,168591578,2,4312,93,0.34
57,168591800,168591800,168596112,2,4311,96,0.65
58,168596123,168596123,168600435,2,4311,94,0.46
59,168578131,168578131,168582439,2,4308,93,0.62
60,168582447,168582447,168586749,2,4301,94,0.09
61,168587077,168587077,168591378,2,4301,94,0.3
62,168591544,168591544,168595845,2,4301,92,0.17
63,168595918,168595918,168600220,2,4301,96,0.4
64,168578188,168578188,168582493,2,4304,92,0.43
65,168582507,168582507,168586809,2,4301,96,0.49
66,168587290,168587290,168591596,2,4305,96,0.57
67,168591931,168591931,168596232,2,4301,96,0.45
68,168596323,168596323,168600625,2,4301,96,0.87
69,168578202,168578202,168582508,2,4305,93,0.59
70,168582528,168582528,168586829,2,4301,96,0.58
71,168587424,168587424,168591726,2,4301,95,0.16
72,168592055,168592055,168596358,2,4302,94,0.02
73,168596394,168596394,168600695,2,4301,95,0.29
74,168575524,168575524,168579825,2,4301,92,0.6
75,168579827,168579827,168584128,2,4301,97,0.97
76,168584130,168584130,168588432,2,4301,92,0.02
77,168588738,168588738,168593039,2,4301,96,0.46
78,168593322,168593322,168597623,2,4301,94,0.31
79,168575791,168575791,168580092,2,4301,97,0.47
80,168580104,168580104,168584407,2,4302,96,0.89
81,168584457,168584457,168588758,2,4301,95,0.71
82,168589392,168589392,168593693,2,4301,92,0.84
83,168593906,168593906,168598207,2,4301,98,0.25
84,168579861,168579861,168580591,1,729,44,0.94
85,168577759,168577759,168578479,1,719,70,0.75
86,168577759,168577759,168578479,1,719,63,0.86
87,168577760,168577760,168578479,1,719,66,0.69
88,168578862,168578862,168579585,1,722,67,0.4
89,168579132,168579132,168581190,1,2058,68,0.09
90,168579139,168579139,168581190,1,2051,75,0.25
91,168579139,168579139,168579886,1,746,72,0.61
92,168579142,168579142,168581190,1,2048,69,0.67
93,168579443,168579443,168581194,1,1751,63,0.28
94,168579472,168579472,168580188,1,716,72,0.86
95,168579932,168579932,168580647,1,714,67,0.29
96,168579928,168579928,168580647,1,718,65,0.54
97,168580158,168580158,168580876,1,717,75,0.58
98,168580169,168580169,168580887,1,717,57,0.67
99,168580171,168580171,168580887,1,715,61,0.45
100,168580187,168580187,168580897,1,710,62,0.5
101,168580185,168580185,168580902,1,716,64,0.24
102,168580184,168580184,168580912,1,728,70,0.11
103,168582585,168582585,168583311,1,726,60,0.09
104,168582583,168582583,168583311,1,728,53,0.52
105,168582590,168582590,168583311,1,720,57,0.32
106,168582598,168582598,168583311,1,712,58,0.32
107,168582590,168582590,168583311,1,721,61,0.38
108,168582630,168582630,168583349,1,718,62,0.45
109,168582665,168582665,168583439,1,774,49,0.39
110,168582662,168582662,168583491,1,828,65,0.04
111,168582664,168582664,168583440,1,776,70,0.06
112,168582668,168582668,168583454,1,785,60,0.12
113,168582671,168582671,168583456,1,785,63,0.19
114,168582675,168582675,168583454,1,778,65,0.13
115,168582674,168582674,168583455,1,780,62,0.38
116,168582699,168582699,168583454,1,755,52,0.67
117,168582702,168582702,168583477,1,774,63,0.35
118,168582711,168582711,168583477,1,765,64,0.43
119,168582735,168582735,168583477,1,741,62,0.8
120,168582751,168582751,168583477,1,726,70,0.42
121,168582761,168582761,168583491,1,730,54,0.2
122,168582755,168582755,168583491,1,736,64,0.27
123,168582759,168582759,168583491,1,732,68,0.89
124,168582761,168582761,168583491,1,730,52,0.13
125,168582775,168582775,168583506,1,730,66,0.1
126,168582760,168582760,168583506,1,746,55,0.14
127,168582760,168582760,168583502,1,742,54,0.55
128,168582768,168582768,168583506,1,737,56,0.61
129,168582771,168582771,168583571,1,799,58,0.05
130,168582764,168582764,168583491,1,726,61,0.81
131,168581702,168581702,168582420,1,718,63,0.1
132,168581706,168581706,168582420,1,714,61,0.03
133,168581708,168581708,168582420,1,712,68,0.33
134,168581709,168581709,168582420,1,711,62,0.22
135,168581708,168581708,168582426,1,717,67,0.29
136,168581706,168581706,168582427,1,721,66,0.99
137,168581699,168581699,168582440,1,741,68,0.57
138,168582768,168582768,168583527,1,758,59,0.01
139,168582773,168582773,168583578,1,804,56,0.88
140,168582780,168582780,168583513,1,733,59,0.99
141,168582779,168582779,168583531,1,752,56,0.6
142,168582785,168582785,168584062,1,1276,67,0.73
143,168582781,168582781,168583549,1,768,59,0.38
144,168582781,168582781,168583564,1,783,60,0.94
145,168582792,168582792,168584267,1,1474,61,0.14
146,168582789,168582789,168583591,1,801,61,0.53
147,168583271,168583271,168583986,1,715,63,0.2
148,168583271,168583271,168583987,1,715,63,0.7
149,168583315,168583315,168584267,1,952,65,0.14
150,168583319,168583319,168584040,1,721,59,0.9
151,168583319,168583319,168584040,1,721,64,0.97
152,168581262,168581262,168581974,1,712,62,0.25
153,168581262,168581262,168581974,1,712,73,0.81
154,168583319,168583319,168584040,1,720,58,0.97
155,168583319,168583319,168584040,1,721,61,0.53
156,168583385,168583385,168584110,1,725,63,0.14
157,168583385,168583385,168584110,1,724,59,0.06
158,168583385,168583385,168584116,1,731,62,0.91
159,168583385,168583385,168584110,1,725,71,0.82
160,168583385,168583385,168584110,1,725,60,0.88
161,168583385,168583385,168584110,1,725,66,0.91
162,168583385,168583385,168584110,1,725,66,0.63
163,168583385,168583385,168584110,1,725,62,0.19
164,168583385,168583385,168584110,1,724,67,0.8
165,168583385,168583385,168584110,1,725,66,0.81
166,168583385,168583385,168584110,1,725,67,0.13
167,168581240,168581240,168581966,1,726,86,0.6
168,168581244,168581244,168581989,1,745,62,0.04
169,168581241,168581241,168581990,1,748,70,0.95
170,168583385,168583385,168584110,1,725,67,0.66
171,168583385,168583385,168584110,1,724,60,0.32
172,168583385,168583385,168584110,1,724,72,0.96
173,168583389,168583389,168584110,1,721,62,0.62
174,168583389,168583389,168584110,1,720,60,0.41
175,168583396,168583396,168584110,1,713,69,0.74
176,168583391,168583391,168584110,1,718,61,0.14
177,168583389,168583389,168584110,1,720,65,0.23
178,168583395,168583395,168584114,1,718,71,0.7
179,168583400,168583400,168584114,1,713,72,0.16
180,168583391,168583391,168584114,1,723,65,0.56
181,168583389,168583389,168584110,1,720,60,0.89
182,168583389,168583389,168584114,1,725,61,0.33
183,168583396,168583396,168584114,1,718,63,0.72
184,168583389,168583389,168584114,1,725,70,0.3
185,168583389,168583389,168584114,1,725,69,0.4
186,168583390,168583390,168584114,1,724,60,0.55
187,168583400,168583400,168584114,1,714,68,0.51
188,168583393,168583393,168584119,1,725,75,0.75
189,168583402,168583402,168584119,1,717,69,0.16
190,168583404,168583404,168584138,1,734,74,0.56
191,168583402,168583402,168584123,1,720,46,0.21
192,168583404,168583404,168584123,1,718,70,0.86
193,168583425,168583425,168584146,1,720,62,0.78
194,168583427,168583427,168584146,1,719,63,0.01
195,168583427,168583427,168584160,1,733,60,0.06
196,168583426,168583426,168584175,1,748,60,0.07
197,168583439,168583439,168584182,1,743,56,0.82
198,168583440,168583440,168584178,1,738,56,0.38
199,168583440,168583440,168584188,1,748,64,0.69
200,168583452,168583452,168584182,1,729,61,0.0
201,168583452,168583452,168584269,1,817,60,0.78
202,168583459,168583459,168584182,1,722,73,0.24
203,168583462,168583462,168584182,1,719,60,0.13
204,168583459,168583459,168584182,1,722,61,0.8
205,168583459,168583459,168584182,1,722,64,0.84
206,168583479,168583479,168584271,1,792,63,0.45
207,168583481,168583481,168584201,1,719,67,0.22
208,168583481,168583481,168584201,1,719,66,0.09
209,168583489,168583489,168584270,1,781,71,0.36
210,168583484,168583484,168584271,1,786,64,0.34
211,168583488,168583488,168584267,1,778,63,0.7
212,168583488,168583488,168584270,1,782,61,0.83
213,168583495,168583495,168584269,1,774,61,0.28
214,168583488,168583488,168584291,1,802,68,0.39
215,168583489,168583489,168584291,1,801,64,0.91
216,168583495,168583495,168584291,1,796,74,0.2
217,168583499,168583499,168584295,1,796,72,0.96
218,168583594,168583594,168584350,1,755,77,0.81
219,168583588,168583588,168584350,1,762,68,0.66
220,168583621,168583621,168584350,1,729,69,1.0
221,168583623,168583623,168584350,1,727,58,0.24
222,168583630,168583630,168584362,1,732,72,0.51
223,168583620,168583620,168584366,1,746,71,0.32
224,168583615,168583615,168584366,1,751,67,0.32
225,168583654,168583654,168584373,1,718,66,0.99
226,168583659,168583659,168584376,1,717,76,0.53
227,168583674,168583674,168584376,1,702,68,0.6
228,168583682,168583682,168584376,1,694,56,0.9
229,168583716,168583716,168584435,1,719,65,0.72
230,168583715,168583715,168584435,1,720,68,0.62
231,168583727,168583727,168584450,1,722,62,0.3
232,168583729,168583729,168584439,1,710,59,0.1
233,168584150,168584150,168584965,1,814,67,0.31
234,168583789,168583789,168584504,1,715,63,0.4
235,168583780,168583780,168584504,1,723,73,0.95
236,168583790,168583790,168584504,1,714,67,0.01
237,168583786,168583786,168584504,1,717,61,0.86
238,168583780,168583780,168584505,1,724,75,0.31
239,168583786,168583786,168584504,1,718,65,0.63
240,168583789,168583789,168584536,1,747,69,0.11
241,168583789,168583789,168584536,1,747,68,0.48
242,168584585,168584585,168585308,1,723,64,0.27
